City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Matara,LK,5.95,80.54,82.67,72,92,6.87
Marawi,PH,8.0,124.29,84.0,76,66,5.01
Coahuayana Viejo,MX,18.73,-103.68,77.7,88,39,1.41
Kabare,CD,-2.47,28.82,61.38,80,78,0.72
Hailar,CN,49.2,119.7,34.0,81,0,7.72
Bahār,IR,34.91,48.44,40.55,65,47,1.72
Chenzhou,CN,25.8,113.03,58.59,85,100,3.49
Gachsaran,IR,30.36,50.8,55.4,32,0,3.56
Rokytne,UA,51.28,27.21,48.04,94,70,3.56
Brae,GB,60.4,-1.35,50.0,87,89,8.05
Port Blair,IN,11.67,92.75,83.32,71,52,5.17
Arteaga,MX,18.47,-102.42,64.83,99,53,1.41
Loandjili,CG,-4.76,11.86,76.06,91,97,8.1
Buala,SB,-8.14,159.59,78.12,88,100,3.0
Bacolod City,PH,10.67,122.95,85.39,74,7,11.14
Dalbandin,PK,28.89,64.41,57.2,30,0,5.82
Nehe,CN,48.48,124.83,37.47,67,0,5.73
Staryy Nadym,RU,65.61,72.68,7.99,88,100,16.87
Mingora,PK,34.78,72.36,62.76,30,6,5.3
Nelson Bay,AU,-32.72,152.15,71.01,73,75,16.11
Abancay,PE,-13.63,-72.88,60.46,56,37,3.02
Henties Bay,NA,-22.12,14.28,57.0,89,70,3.0
Jadu,LY,31.95,12.03,52.75,69,0,2.06
Turaif,SA,31.67,38.66,57.2,33,0,6.93
Ukiah,US,39.15,-123.21,60.8,45,1,2.3
Puri,IN,19.8,85.85,78.08,57,16,12.12
Esperance,AU,-33.87,121.9,68.0,49,0,9.17
Baghdad,IQ,33.34,44.4,53.6,66,52,1.12
Havelock,US,34.88,-76.9,72.0,93,1,5.3
Merauke,ID,-8.47,140.33,84.36,67,1,10.96
Xifeng,CN,42.74,124.72,44.76,50,0,5.53
Port Macquarie,AU,-31.43,152.92,66.2,88,90,4.7
Tessalit,ML,20.2,1.01,75.47,18,0,11.59
Imarichō-kō,JP,33.27,129.88,73.99,56,40,4.7
Wakkanai,JP,45.41,141.67,50.0,87,75,10.29
Reconquista,AR,-29.15,-59.65,59.4,66,8,12.62
Grootfontein,NA,-19.57,18.12,66.45,58,90,5.82
Priiskovyy,RU,51.93,116.63,34.79,78,68,1.68
Bilibino,RU,68.05,166.44,-1.35,87,20,1.01
Oddur,SO,4.12,43.89,71.64,88,87,11.7
Banda Aceh,ID,5.56,95.32,85.86,59,100,11.43
Lahat,ID,-3.8,103.53,88.34,58,95,1.52
Korla,CN,41.76,86.15,51.21,42,100,12.64
Bedelē,ET,8.46,36.35,48.16,95,0,2.39
Fredericton,CA,45.95,-66.67,33.8,74,90,3.36
Aksha,RU,50.28,113.29,39.0,63,63,1.43
Sirte,LY,31.21,16.59,68.49,69,1,10.63
Eisenerz,AT,47.53,14.88,46.99,93,100,2.24
Donskoye,RU,45.46,41.97,51.8,93,75,17.9
Çatalca,TR,41.14,28.46,68.0,88,75,6.93
Bāglung,NP,28.27,83.59,70.25,29,0,1.16
Isangel,VU,-19.55,169.27,84.2,58,40,9.17
Touho,NC,-20.78,165.23,76.68,73,19,14.41
Parvatsar,IN,26.88,74.77,74.12,20,0,5.59
Kuruman,ZA,-27.45,23.43,72.99,32,85,6.64
Batagay-Alyta,RU,67.8,130.41,4.86,85,93,2.48
Arlit,NE,18.74,7.39,75.36,18,0,6.29
Sørland,NO,67.67,12.69,45.27,76,13,15.97
Mezhova,UA,48.25,36.73,43.36,74,9,8.97
Mpulungu,ZM,-8.76,31.11,76.42,51,99,3.8
Talara,PE,-4.58,-81.27,66.33,82,100,15.46
Srednekolymsk,RU,67.45,153.68,8.82,93,48,5.59
Vila Velha,BR,-20.33,-40.29,81.0,83,90,10.29
Kailua,US,21.4,-157.74,78.01,94,90,11.41
Ottawa,CA,45.41,-75.7,45.0,70,75,9.17
Bukoba,TZ,-1.33,31.81,66.2,93,40,1.86
San Policarpo,PH,12.18,125.51,84.67,75,99,12.37
Bani Walid,LY,31.76,13.99,59.86,63,1,9.26
Matagami,CA,49.75,-77.63,24.8,92,90,9.17
Butembo,CD,0.15,29.28,57.6,99,100,2.68
Nizza Monferrato,IT,44.77,8.35,46.0,91,100,1.99
Beringovskiy,RU,63.05,179.32,26.98,90,12,11.54
Köping,SE,59.51,15.99,46.4,87,75,12.75
Mahibadhoo,MV,3.78,72.97,83.23,74,57,9.62
Catalina,US,32.51,-110.92,55.99,32,0,4.5
Iquitos,PE,-3.75,-73.25,77.4,89,18,2.86
Slave Lake,CA,55.28,-114.77,28.4,92,1,3.36
Shimoda,JP,34.67,138.95,68.0,60,20,13.87
Enumclaw,US,47.2,-121.99,51.01,93,12,3.49
Roseto degli Abruzzi,IT,42.67,14.02,44.6,93,0,5.82
Kushmurun,KZ,52.45,64.63,29.73,92,28,6.87
Swellendam,ZA,-34.02,20.44,59.0,67,100,3.36
Geraldton,AU,-28.77,114.6,91.4,21,0,12.75
Stroud,GB,51.75,-2.2,48.0,82,97,8.01
Broome,US,42.25,-75.83,42.8,100,1,4.7
Ocosingo,MX,17.07,-92.25,65.84,97,100,0.96
Sorong,ID,-0.88,131.25,78.93,81,100,5.44
Novobirilyussy,RU,56.95,90.67,24.69,92,95,13.47
Port Said,EG,31.26,32.28,73.4,88,0,5.82
San Fernando,PH,15.03,120.69,87.8,66,75,9.17
Stepnogorsk,KZ,52.35,71.89,30.22,98,100,14.25
Mangaratiba,BR,-22.96,-44.04,73.4,88,0,4.7
Dubrovka,RU,53.69,33.51,41.0,93,75,6.71
Pitimbu,BR,-7.47,-34.81,75.2,88,40,4.7
Chekmagush,RU,55.13,54.66,29.82,93,34,10.02
Charleston,US,32.78,-79.93,75.99,88,1,6.93
Ashta,IN,23.02,76.72,73.94,39,0,0.83
Yarkovo,RU,57.4,67.08,31.24,96,88,9.91
Barra de Tecoanapa,MX,16.52,-98.75,80.01,83,66,5.28
Holíč,SK,48.81,17.16,48.0,84,78,2.66
Ouadda,CF,8.08,22.4,68.13,67,87,0.4
Pilar,BR,-9.6,-35.96,71.6,94,0,2.24
Los Angeles,US,34.05,-118.24,64.4,63,1,3.4
Capão da Canoa,BR,-29.75,-50.01,65.46,87,0,4.9
Mogadishu,SO,2.04,45.34,78.96,82,3,7.2
Ji’an,CN,27.12,114.98,69.76,66,96,7.72
Kajaani,FI,64.23,27.73,46.4,93,90,11.41
Te Anau,NZ,-45.42,167.72,66.65,60,13,3.91
Santiago,CL,-33.46,-70.65,60.8,44,0,11.41
Codrington,AU,-38.27,141.97,56.84,82,100,5.12
Chauk,MM,20.88,94.82,84.56,70,97,11.39
San Jerónimo,PE,-11.95,-75.28,54.93,55,28,1.03
Xicoténcatl,MX,23.02,-98.88,64.0,76,98,3.0
Tura,IN,25.52,90.22,80.22,73,0,1.1
Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,73.0,47,86,8.99
Kivsharivka,UA,49.62,37.7,40.96,68,0,9.98
Talakan,RU,50.32,130.37,37.96,76,78,9.89
Vila do Maio,CV,15.13,-23.22,78.8,88,0,12.75
Vezirköprü,TR,41.14,35.45,46.4,51,0,1.48
Kuching,MY,1.55,110.33,86.0,79,20,3.36
Sayyan,YE,15.17,44.32,44.11,56,0,4.61
Kawhia,NZ,-38.07,174.82,71.01,59,98,1.99
Kirakira,SB,-10.45,161.92,84.07,75,98,10.71
Prymors'k,UA,46.73,36.34,54.14,87,98,15.88
